titre,résumé,temps,année,votes,nombre de votes,popularité,acteurs,directeurs,production,genres,id_film,id_genre,poster_url,genre_1,genre_2,genre_3
E.T. l'extra-terrestre,"Une soucoupe volante atterrit en pleine nuit près de Los Angeles. Quelques extraterrestres, envoyés sur Terre en mission d’exploration botanique, sortent de l’engin, mais un des leurs s’aventure au-delà de la clairière où se trouve la navette. Celui-ci se dirige alors vers la ville. C’est sa première découverte de la civilisation humaine. Bientôt traquée par des militaires et abandonnée par les siens, cette petite créature apeurée se nommant E.T. se réfugie dans une résidence de banlieue. Elliot, un garçon de dix ans, le découvre et lui construit un abri dans son armoire. Rapprochés par un échange télépathique, les deux êtres ne tardent pas à devenir amis. Aidé par sa sœur Gertie et son frère aîné Michael, Elliot va alors tenter de garder la présence d'E.T. secrète.",115,11-06-1982,7.51,11677,56.3582,"['Henry Thomas', 'Drew Barrymore', 'Robert MacNaughton', 'Peter Coyote', 'Dee Wallace', 'Erika Eleniak', 'K.C. Martel', 'C. Thomas Howell', 'Sean Frye', ""David M. O'Dell"", 'Richard Swingler', 'Frank Toth', 'Robert Barton', 'Michael Darrell', 'David Berkson', 'David Carlberg', 'Milt Kogan', 'Alexander Lampone', 'Rhoda Makoff', 'Robert D. Murphy', 'Richard Pesavento', 'Tom Sherry', 'Susan Cameron', 'Will Fowler, Jr.', 'Barbara Hartnett', 'Diane Lampone', 'Mary Stein', 'Mitch Suskin', 'Ted Grossman', 'James Kahn', 'Anne Lockhart', 'Melissa Mathison', 'Debra Winger', 'Michael Lepre', 'Alex Daniels', 'Chuck Riley', 'Quinn Smith']",['Steven Spielberg'],"Universal Pictures, Amblin Entertainment","['Science-Fiction', 'Aventure', 'Familial', 'Fantastique']",601,"[878, 12, 10751, 14]",https://image.tmdb.org/t/p/w500/5jl5sfhTeAlp60rM9GxoDA2dmX9.jpg,Science-Fiction,Aventure,Familial
Casino,"Dans les années soixante-dix à Las Vegas, Ace Rothstein dirige d'une main de fer l'hôtel-casino Tangiers, financé en sous-main par le puissant syndicat des camionneurs. Le Tangiers est l'un des casinos les plus prospères de la ville et Ace est devenu le grand manitou de Las Vegas, secondé par son ami d'enfance, Nicky Santoro. Impitoyable avec les tricheurs, Rothstein se laisse un jour séduire par une virtuose de l'arnaque d'une insolente beauté, Ginger McKenna. Amoureux, il lui ouvre les portes de son paradis et l'épouse. Ses ennuis commencent alors.",178,22-11-1995,7.993,6287,21.8695,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles', 'Alan King', 'Kevin Pollak', 'L.Q. Jones', 'Dick Smothers', 'Frank Vincent', 'John Bloom', 'Pasquale Cajano', 'Melissa Prophet', 'Bill Allison', 'Vinny Vella', 'Oscar Goodman', 'Catherine Scorsese', 'Philip Suriano', 'Erika von Tagen', 'Frankie Avalon', 'Steve Allen', 'Jayne Meadows', 'Jerry Vale', 'Joseph Rigano', 'Gene Ruffini', 'Dominick Grieco', 'Richard Amalfitano', 'Richard F. Strafella', 'Casper Molee', 'David Leavitt', 'Peter Conti', 'Cathy Scorsese', 'Steve Vignari', 'Rick Crachy', 'Larry E. Nadler', 'Paul Herman', 'Salvatore Petrillo', 'Joey DePinto', 'Heidi Keller', 'Millicent Sheridan', 'Nobu Matsuhisa', 'Toru Nagai', 'Charlene Hunter', 'Dom Angelo', 'Joe Molinaro', 'Ali Pirouzkar', 'Frankie J. Allison', 'Jeff Scott Anderson', 'Jennifer M. Abbott', 'Frank Washko Jr.', 'Christian A. Azzinaro', 'Robert C. Tetzlaff', 'Anthony Russell', 'Carol Wilson', 'Joe Lacoco', 'John Manca', 'Ronald Maccone', 'Buck Stephens', 'Joseph P. Reidy', 'Joe La Due', 'Fred Smith', ""Sonny D'Angelo"", 'Greg Anderson', 'Stuart Nisbet', 'Tommy DeVito', 'Frank Adonis', 'Joseph Bono', 'Craig Vincent', 'Daniel P. Conte', 'Paul Dottore', 'Richard T. Smith', 'David Rose', 'Jonathan Kraft', 'Michael McKensie Pratt', 'Patti James', 'Ruth Gillis', 'Carol Cardwell', 'Dean Casper', 'Nan Brennan', 'Karyn Amalfitano', 'C.C. Carr', 'David Varriale', 'Darla House', 'Carol Krolick', 'Frank Regich', 'Herb Schwartz', 'Bret McCormick', 'Clem Caserta', 'Jed Mills', 'Janet Denti', 'Cameron Milzer', 'Leain Vashon', 'Jim Morgan Williams', 'Brian Le Baron', 'Mortiki Yerushalmi', 'Mufid M. Khoury', 'Khosrow Abrishami', 'Richard Riehle', 'Mike Maines', 'Bobby Hitt', 'Shellee Renee', 'Alfred Nittoli', 'Carl Ciarfalio', 'Jack Orend', 'Linda Perri', 'Ffolliott Le Coque', 'J. Charles Thompson', 'Michael Paskevich', 'Mike Weatherford', 'Eric Randall', 'Gwen Castaldi', 'Brian Reddy', 'Roy Conrad', 'Mike Bradley', 'Dave Courvoisier', 'George Comando', 'Andy Jarrell', 'Robert Sidell', 'Tyde Kierney', 'Paige Novodor', 'Claudia Haro', 'Sasha Semenoff', 'Gil Dova', 'George W. Allf', 'Madeline Parquette', 'Nick Mazzola', 'Jed L. Hansen', 'Gino Bertin', 'Mitch Kolpan', 'Csaba Maczala', 'Peter Sugden', 'Rudy Guerrero', 'Randy Sutton', 'Jeff Corbin', 'Sly Smith', 'Joe Anastasi', 'F. Marcus Casper', 'Jeffrey Azzinaro', 'Richard Wagner', 'Carrie Cipollini', 'Loren Stevens', 'Gary C. Rainey', 'David Arcerio', 'Haven Earle Haley', 'Sam Wilson', 'Michael Toney', 'Dick Warlock', 'Steve Schirripa', 'Andrea Nittoli', 'Peter Eastman']",['Martin Scorsese'],"Universal Pictures, Syalis DA, Légende Films, Cappa/De Fina Productions","['Crime', 'Drame']",524,"[80, 18]",https://image.tmdb.org/t/p/w500/4a0I37pYcdFY6HeutalHQTGs0sl.jpg,Crime,Drame,-
Dune : Première partie,"L'histoire de Paul Atreides, jeune homme aussi doué que brillant, voué à connaître un destin hors du commun qui le dépasse totalement. Car, s'il veut préserver l'avenir de sa famille et de son peuple, il devra se rendre sur Dune, la planète la plus dangereuse de l'Univers. Mais aussi la seule à même de fournir la ressource la plus précieuse capable de décupler la puissance de l'Humanité. Tandis que des forces maléfiques se disputent le contrôle de cette planète, seuls ceux qui parviennent à dominer leur peur pourront survivre…",155,15-09-2021,7.777,14196,19.0222,"['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac', 'Jason Momoa', 'Stellan Skarsgård', 'Stephen McKinley Henderson', 'Josh Brolin', 'Javier Bardem', 'Sharon Duncan-Brewster', '張震', 'Dave Bautista', 'David Dastmalchian', 'Zendaya', 'Charlotte Rampling', 'Babs Olusanmokun', 'Benjamin Clementine', 'Souad Faress', 'Golda Rosheuvel', 'Roger Yuan', 'Seun Shote', 'Neil Bell', 'Oliver Ryan', 'Stephen Collins', 'Charlie Rawes', 'Richard Carter', 'Benjamin Dilloway', 'Elmi Rashid Elmi', 'Tachia Newall', 'Gloria Obianyo', 'Fehinti Balogun', 'Dora Kápolnai-Schvab', 'Joelle', 'Jimmy Walker', 'Paul Bullion', 'Milena Sidorova', 'János Timkó', 'Jean Gilpin', 'Marianne Faithfull', 'Ellen Dubin', 'Károly Baksai', 'Björn Freiberg', 'Balázs Megyeri', 'Michael Nardone', 'Duncan Pow', 'Ferenc Iván Szabó', 'Elemér Szatmári', 'Peter Sztojanov, Jr.', 'István Áldott']",['Denis Villeneuve'],Legendary Pictures,"['Science-Fiction', 'Aventure']",438631,"[878, 12]",https://image.tmdb.org/t/p/w500/qpyaW4xUPeIiYA5ckg5zAZFHvsb.jpg,Science-Fiction,Aventure,-
2001 : L'Odyssée de l'espace,"Aux temps préhistoriques, une petite tribu d’hommes‐singes installée au milieu de rochers arides lutte difficilement pour la vie. Un matin, ils trouvent devant eux une mystérieuse dalle noire monolithique. L’un des singes touche la pierre et apprend alors à se servir d’un os de quadrupède pour tuer ses ennemis. Quatre millions d’années plus tard, en 2001, un savant de l’espace, le Dr Heywood Floyd, débarque sur la lune pour examiner une dalle noire semblable à celle des singes, qui était enterrée sous la surface de l’astre. Selon les premières observations, l’objet émettrait un signal mystérieux…",156,02-04-1968,8.061,12199,18.7358,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Douglas Rain', 'Daniel Richter', 'Leonard Rossiter', 'Margaret Tyzack', 'Robert Beatty', 'Sean Sullivan', 'Frank W. Miller', 'Bill Weston', 'Ed Bishop', 'Glenn Beck', 'Alan Gifford', 'Ann Gillis', 'Edwina Carroll', 'Penny Brahms', 'Heather Downham', 'Mike Lovell', 'John Ashley', 'Jimmy Bell', 'David Charkham', 'Keith Denny', 'Jonathan Daw', 'Péter Delmár', 'Terry Duggan', 'David Fleetwood', 'Danny Grover', 'Brian Hawley', 'David Hines', 'Anthony Jackson', 'John Jordan', 'Scott MacKee', 'Laurence Marchant', 'Darryl Paes', 'Joe Refalo', 'Andy Wallace', 'Bob Wilyman', 'Richard Woods', 'Maggie London', 'Chela Matthison', 'Judy Keirn', 'Vivian Kubrick', 'Kenneth Kendall', 'Kevin Scott', 'Martin Amor', 'S. Newton Anderson', 'Sheraton Blount', 'Ann Bormann', 'Julie Croft', 'Penny Francis', 'Marcella Markham', 'Irena Marr', 'Krystyna Marr', 'Kim Neil', 'Jane Pearl', 'Penny Pearl', 'Burnell Tucker', 'John Swindells', 'John Clifford', 'Stanley Kubrick', 'Harry Fielder']",['Stanley Kubrick'],"Stanley Kubrick Productions, Metro-Goldwyn-Mayer","['Science-Fiction', 'Mystère', 'Aventure']",62,"[878, 9648, 12]",https://image.tmdb.org/t/p/w500/uwd79G32FPIL5B9UkRgSZvS0gbe.jpg,Science-Fiction,Mystère,Aventure
Les Affranchis,"Brooklyn, dans les années 50. Depuis l'enfance, le jeune Henry Hill rêve de devenir gangster. À 16 ans, il se met en selle auprès de Paul Cicero, un caïd local, et commet ses premiers délits. Arrêté et interrogé, il refuse de parler et gagne ainsi le respect du milieu. À sa sortie de prison, il fait la connaissance de James Conway et de Tommy DeVito, deux truands d'une extrême violence, et se lance avec eux dans des trafics de grande envergure. Karen, une jeune bourgeoise qu'il courtise et finit par épouser, ne devine sa profession qu'après être passée devant l'officier d'état-civil. Grisé par le succès, Henry multiplie les coups les plus audacieux…",141,12-09-1990,8.453,13832,17.7786,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco', 'Paul Sorvino', 'Frank Sivero', 'Tony Darrow', 'Mike Starr', 'Frank Vincent', 'Chuck Low', 'Frank DiLeo', 'Henny Youngman', 'Gina Mastrogiacomo', 'Catherine Scorsese', 'Charles Scorsese', 'Suzanne Shepherd', 'Debi Mazar', 'Margo Winkler', 'Welker White', 'Jerry Vale', 'Julie Garfield', 'Christopher Serrone', 'Elaine Kagan', 'Beau Starr', 'Kevin Corrigan', 'Michael Imperioli', 'Robbie Vinton', 'Johnny Williams', 'Daniel P. Conte', 'Tony Conforti', 'Frank Pellegrino', 'Ronald Maccone', 'Tony Sirico', ""Joseph D'Onofrio"", 'Steve Forleo', 'Richard Dioguardi', 'Frank Adonis', 'John Manca', 'Joseph Bono', 'Katherine Wallach', 'Mark Jacobs', 'Angela Pietropinto', 'Marianne Leone Cooper', 'Marie Michaels', 'LoNardo', 'Melissa Prophet', 'Illeana Douglas', 'Susan Varon', 'Elizabeth Whitcraft', 'Clem Caserta', 'Samuel L. Jackson', 'Fran McGee', 'Paul Herman', 'Edward McDonald', 'Edward Hayes', 'Daniela Barbosa', 'Gina Mattia', 'Joel Calendrillo', 'Anthony Valentin', 'Edward D. Murphy', 'Michael Citriniti', 'Peter Hock', 'Erasmus C. Alfano', 'John Di Benedetto', 'Manny Alfaro', 'Thomas Lowry', 'Margaret Smith', 'Richard Mullally', 'Frank Albanese', 'Paul McIsaac', 'Bob Golub', 'Louis Eppolito', 'Tony Lip', 'Mikey Black', 'Peter Cicale', 'Anthony Powers', 'Vincent Pastore', 'Anthony Alessandro', 'Victor Colicchio', 'Mike Contessa', 'Philip Suriano', 'Paul Mougey', 'Norman Barbera', 'Anthony Polemeni', 'James Quattrochi', 'Lawrence Sacco', 'Dino Laudicina', 'Thomas E. Camuti', 'Andrew Scudiero', 'Irving Welzer', 'Jesse Kirtzman', 'Russell Halley', 'Spencer Bradley', 'Bob Altman', 'Joanna Bennett', 'Gayle Lewis', 'Gaetano Lisi', 'Luke Walter', 'Ed Deacy', 'Larry Silvestri', ""John 'Cha Cha' Ciarcia"", 'Vito Picone', 'Janis Corsair', 'Lisa D’Apolito', 'Frank Aquilino', 'Michael Calandrino', 'Vito Antuofermo', 'Vito Balsamo', 'Peter Fain', 'Vincent Gallo', 'Gaetano LoGiudice', 'Garry Pastore', 'Nicole Burdette', 'Stella Keitel', 'Dominique DeVito', 'Michaelangelo Graziano', 'Paula Kcira', 'Nadine Kay', 'Tony Ellis', 'Peter Onorati', 'Jamie deRoy', 'Joel Blake', 'H. Clay Dear', 'Thomas Hewson', 'Gene Canfield', 'Margaux Guerard', 'Violet Gaynor', 'Tobin Bell', 'Berlinda Tolbert', 'Nancy Cassaro', 'Adam Wandt', 'Joe Gioco', 'Isiah Whitlock, Jr.', 'Alyson Jones', 'Ruby Gaynor', 'Bo Dietl', 'Frank Cassini', 'Anthony Caso', 'Lisa Bostnar', 'Billy L. Sullivan', 'Jeffrey Rollins']",['Martin Scorsese'],"Winkler Films, Warner Bros. Pictures","['Drame', 'Crime']",769,"[18, 80]",https://image.tmdb.org/t/p/w500/kc55cCUCZKtAFpsCnZKM5uLBzwh.jpg,Drame,Crime,-
Choses secrètes,"Sandrine et Nathalie, deux filles issues de milieux défavorisés, utilisent leur pouvoir de séduction pour accéder le plus rapidement possible au sommet de la hiérarchie sociale. Elles intègrent une grande entreprise. Après avoir écrasé quelques cadres importants, elles parviennent à atteindre Christophe, le fils du patron et futur dirigeant. Or, le jeune homme est un libertin qui va les manipuler et les faire souffrir.",115,16-10-2002,5.7,104,16.9749,"['Coralie Revel', 'Sabrina Seyvecou', 'Roger Miremont', 'Fabrice Deville', 'Blandine Bury', 'Olivier Soler', 'Viviane Théophildès', 'Dorothée Picard', 'Pierre Gabaston', 'María Luisa García', 'Arnaud Goujon']",['Jean-Claude Brisseau'],"Les Aventuriers de l'Image, CNC, La Sorcière Rouge",['Drame'],35712,[18],https://image.tmdb.org/t/p/w500/2gz7jHM6m4LiANEs24D9THPbkO9.jpg,Drame,-,-
Django Unchained,"Dans le sud des États‐Unis, deux ans avant la guerre de Sécession, le Dr King Schultz, un chasseur de primes allemand, fait l’acquisition de Django, un esclave qui peut l’aider à traquer les frères Brittle, les meurtriers qu’il recherche. Schultz promet à Django de lui rendre sa liberté lorsqu’il aura capturé les Brittle – morts ou vifs. Alors que les deux hommes pistent les dangereux criminels, Django n’oublie pas que son seul but est de retrouver Broomhilda, sa femme, dont il fut séparé à cause du commerce des esclaves… Lorsque Django et Schultz arrivent dans l’immense plantation du puissant Calvin Candie, ils éveillent les soupçons de Stephen, un esclave qui sert Candie et a toute sa confiance. Le moindre de leurs mouvements est désormais épié par une dangereuse organisation de plus en plus proche… Si Django et Schultz veulent espérer s’enfuir avec Broomhilda, ils vont devoir choisir entre l’indépendance et la solidarité, entre le sacrifice et la survie…",165,25-12-2012,8.185,27327,16.4964,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington', 'Samuel L. Jackson', 'Walton Goggins', 'Dennis Christopher', 'James Remar', 'David Steen', 'Dana Gourrier', 'Nichole Galicia', 'Laura Cayouette', 'Ato Essandoh', 'Sammi Rotibi', 'Clay Donahue Fontenot', 'Escalante Lundy', 'Miriam F. Glover', 'Don Johnson', 'Franco Nero', 'James Russo', 'Tom Wopat', 'Don Stroud', 'Russ Tamblyn', 'Amber Tamblyn', 'Bruce Dern', 'M.C. Gainey', 'Cooper Huckabee', 'Doc Duhame', 'Jonah Hill', 'Lee Horsley', 'Zoë Bell', 'Michael Bowen', 'Robert Carradine', 'Jake Garber', 'Ted Neeley', 'James Parks', 'Tom Savini', 'Michael Parks', 'John Jarratt', 'Quentin Tarantino', 'Amari Cheatom', 'Keith Jefferson', 'Marcus Henderson', 'Chuuch', 'Kinetic', 'Louise Stratten', 'Kim Robillard', 'Shana Stein', 'Shannon Hazlett', 'Jack Lucarelli', 'Victoria Thomas', 'Grace Collins', 'Sharon Pierre-Louis', 'Christopher Berry', 'Kim Collins', 'Dane Rhodes', 'J.D. Evermore', 'Rex Linn', 'Michael Bacall', 'Ronan Hice', 'Ned Bellamy', 'Dave Coennen', 'Danièle Watts', 'Jon Eyez', 'Omar J. Dorsey', 'Evan Parke', 'Craig Stark', 'Brian Brown', 'Ritchie Montgomery', 'Nicholas Dashnaw', 'Jarrod Bunch', 'Edrick Browne', 'Kerry Sims', 'Jamal Duff', 'Todd Allen', 'Lewis Smith', 'Keniaryn Mitchell', 'Jakel Marshall', 'Carl Singleton', 'Ashley Toman', 'John McConnell', 'Mark Amos', 'Marsha Stephanie Blake', 'Catherine Lambert', 'Deborah Ayorinde', 'Takara Clark', 'Kimberley Drummond', 'Tenaj L. Jackson', 'Carl Bailey', 'Ross P. Cook', 'Gregory Allen Gabroy', 'Seth Bailey', 'David G. Baker', 'Glen Warner', 'Kesha Bullard Lewis', 'Edward J. Clare', 'Mike DeMille', 'Gary Grubbs', 'Justin Dwayne Hall', 'Kasey James', 'Cindy Mah', 'Johnny Otto', 'Belinda Owino', 'Mark Ulano', 'Misty Upham', 'Fatimah Taliah', 'Dudley Fuqua', 'Augustine Alvarez', 'John R. Bennett II', 'Valencia Christina', 'Gene Kevin Hames, Jr.', 'Ryan Happy', 'Bill Heintz', 'Jacky Ido', 'Jacquelyn Twodat Jackson', 'Marvin Jones III', 'Ashlee Nicole Jordan', 'Spencer Kayden', 'Elton LeBlanc', 'Chuck Murphy', 'Brianna Oppenheimer', 'Kel Owens', 'Matthew Parrott', 'Erin Pickett', 'Tom Proctor', 'Aleeah Rogers', 'Alfred Smith III', 'Kay Smith', 'Samantha Smith', 'Nathan Alan Thomas', 'Tristan Tierce', 'LaTeace Towns-Cuellar', 'Rashia Whitlock', 'Travis Wilkerson', 'Tadasay Young', 'Ronnie Zappa']",['Quentin Tarantino'],"The Weinstein Company, Columbia Pictures","['Drame', 'Western']",68718,"[18, 37]",https://image.tmdb.org/t/p/w500/vRXUnWrXUgXRoX0BaEcuNMfyeQt.jpg,Drame,Western,-
Coraline,"Coraline Jones est une fillette intrépide et douée d’une curiosité sans limites. Ses parents, qui ont tout juste emménagé avec elle dans une étrange maison, n’ont guère de temps à lui consacrer. Pour tromper son ennui, Coraline décide donc de jouer les exploratrices. Ouvrant une porte condamnée, elle pénètre dans un appartement identique au sien… mais où tout est différent. Dans cet Autre Monde, chaque chose lui paraît plus belle, plus colorée et plus attrayante. Son Autre Mère est pleinement disponible, son Autre Père prend la peine de lui mitonner des plats exquis, et même le Chat, si hautain dans la Vraie vie, daigne s’entretenir avec elle. Coraline est bien tentée d’élire domicile dans ce Monde merveilleux, qui répond à toutes ses attentes. Mais le rêve va très vite tourner au cauchemar. Prisonnière de l’Autre Mère, Coraline va devoir déployer des trésors de bravoure, d’imagination et de ténacité pour rentrer chez elle et sauver sa Vraie famille…",100,05-02-2009,7.896,8678,14.7671,"['Dakota Fanning', 'Teri Hatcher', 'Jennifer Saunders', 'Dawn French', 'Keith David', 'John Hodgman', 'Robert Bailey Jr.', 'Ian McShane', 'Aankha Neal', 'George Selick', 'Hannah Kaiser', 'Harry Selick', 'Marina Budovsky', 'Emerson Tenney', 'Jerome Ranft', 'Christopher Murrie', 'Jeremy Ryder', 'Carolyn Crawford', 'Yona Prost', 'John Linnell']",['Henry Selick'],"LAIKA, Pandemonium","['Animation', 'Familial', 'Fantastique']",14836,"[16, 10751, 14]",https://image.tmdb.org/t/p/w500/4jeFXQYytChdZYE9JYO7Un87IlW.jpg,Animation,Familial,Fantastique
"Le Bon, la Brute et le Truand","Pendant la guerre de Sécession, Tuco et Joe se lancent à la recherche d'un coffre contenant 200 000 dollars en pièces d'or volés à l'armée sudiste. Ayant des indices complémentaires sur la cache, chacun a besoin de l'autre. Mais un troisième homme entre dans la course : Sentenza, un tueur qui ne recule devant rien pour parvenir à ses fins.",161,22-12-1966,8.5,9289,14.0037,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè', 'Luigi Pistilli', 'Rada Rassimov', 'Enzo Petito', 'Claudio Scarchilli', 'Antonio Casale', 'Livio Lorenzon', 'Sandro Scarchilli', 'Benito Stefanelli', 'Angelo Novi', 'Antonio Casas', 'Aldo Sambrell', 'Al Mulock', 'Sergio Mendizábal', 'Antonio Molino Rojo', 'Lorenzo Robledo', 'Mario Brega', 'Chelo Alonso', 'Fortunato Arena', 'Román Ariznavarreta', 'Silvana Bacci', 'Joseph Bradley', 'Frank Braña', 'Amerigo Castrighella', 'Saturno Cerra', 'William Conroy', 'Axel Darna', 'Tony Di Mitri', 'Gianni Di Segni', 'Alberigo Donadeo', 'Attilio Dottesio', 'Luis Fernández de Eribe', 'Veriano Ginesi', 'Jesús Guzmán', 'Víctor Israel', 'Nazzareno Natale', 'Ricardo Palacios', 'Antonio Palombi', 'Romano Puppo', 'Antoñito Ruiz', 'Aysanoa Runachagua', 'Enrique Santiago', 'José Terrón', 'Franco Tocci', 'Antonio Montoya']",['Sergio Leone'],"United Artists, PEA, Arturo González PC, Constantin Film",['Western'],429,[37],https://image.tmdb.org/t/p/w500/qEr65B4yGlsmLQjcM0xjSUMfZS2.jpg,Western,-,-
Alice au Pays des Merveilles,"Alice, désormais âgée de 19 ans, retourne dans le monde fantastique qu'elle a découvert quand elle était enfant. Elle y retrouve ses amis le Lapin Blanc, Bonnet Blanc et Blanc Bonnet, le Loir, la Chenille, le Chat du Cheshire et, bien entendu, le Chapelier Fou. Alice s'embarque alors dans une aventure extraordinaire où elle accomplira son destin : mettre fin au règne de terreur de la Reine Rouge.",108,03-03-2010,6.6,14492,13.7716,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Crispin Glover', 'Matt Lucas', 'Alan Rickman', 'Stephen Fry', 'Michael Sheen', 'Timothy Spall', 'Christopher Lee', 'Paul Whitehouse', 'Barbara Windsor', 'Michael Gough', 'Imelda Staunton', 'Marton Csokas', 'Lindsay Duncan', 'Geraldine James', 'Tim Pigott-Smith', 'Leo Bill', 'Frances de la Tour', 'Eleanor Tomlinson', 'Eleanor Gecks', 'Jemma Powell', 'John Hopkins', 'Jim Carter', 'Frank Welker', 'Rebecca Crookshank', 'Harry Taylor', 'Chris Grabher', 'Rachel Adams', 'Cortney Palm', 'Holly Hawkins', 'Lucy Davenport', 'Joel Swetow', 'Jessica Oyelowo', 'Ethan Cohn', 'Richard Alonzo', 'Simone Sault', 'Caroline Royce', 'Bonnie Parker', 'Simon Elvin', 'Amy Bailey', 'John Surman', 'Peter Mattinson', 'Mairi Ella Challen', 'David Bernal', 'Leigh Daniels', 'Carl Walker', 'Matt Dempsey', 'Chris Grierson', 'Dale Mercer', 'David Lale', 'Phillip Granell', 'Stephen Giles', 'Jacqueline Tribble', 'Alix Angelis', 'Annalise Basso']",['Tim Burton'],"Walt Disney Pictures, Roth Films, Team Todd, Tim Burton Productions, The Zanuck Company","['Familial', 'Fantastique', 'Aventure']",12155,"[10751, 14, 12]",https://image.tmdb.org/t/p/w500/w2FB25izMMWDoVckloSej0ctDJ2.jpg,Familial,Fantastique,Aventure
